2023-03-29 23:14:44.070 , INFO , Application started , null , [] ,  - 
2023-03-29 23:14:48.655 , INFO , Create class , null , [] ,  - 
2023-03-29 23:14:51.214 , INFO , update class name , null , [wheel] ,  - 
2023-03-29 23:14:56.477 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:15:00.175 , INFO , Accept from Attributs list : [Ljava.lang.Object;@7ac0799e , null , [wheel] ,  - 
2023-03-29 23:15:00.425 , INFO , Create attribute , null , [wheel] ,  - 
2023-03-29 23:15:02.923 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:15:06.054 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:16:21.221 , INFO , Accept from Attributs list : [Ljava.lang.Object;@2fbc2377 , null , [wheel] ,  - 
2023-03-29 23:16:24.197 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:16:25.319 , INFO , Accept from Attributs list : [Ljava.lang.Object;@6c59df0a , null , [wheel] ,  - 
2023-03-29 23:16:28.205 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:16:31.074 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
